pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_masse,pl_msinie,pl_rade,pl_radj,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_facility
WASP-88,b,Transit,1,4.95400000,,0.000000,88.000,0,0,20h38m02.69s,-48d27m43.4s,309.511192,-48.462067,531.61,11.400,V (Johnson),11.478,6430.00,0.94,1.80,0,,,133.48860,,16.365,1.460,0.700000,,,2014,3,531.61,F6,3.96,-0.080,,SuperWASP
WASP-94 B,b,Radial Velocity,1,2.00839000,0.033500,0.000000,,0,0,20h55m09.16s,-34d08m07.9s,313.788158,-34.135521,180.00,10.500,V (Johnson),10.405,6040.00,1.24,1.35,0,,,,196.41100,,,,,,2014,3,209.93,F9,4.26,0.230,4.000,SuperWASP
WASP-95,b,Transit,1,2.18467000,,0.000000,88.400,0,0,22h29m49.73s,-48d00m11.1s,337.457189,-48.003086,138.09,,,9.937,5830.00,1.46,1.23,0,,,457.67520,,13.787,1.230,1.000000,,,2014,3,138.09,G2,4.36,0.140,,SuperWASP
WASP-96,b,Transit,1,3.42526020,0.045300,0.000000,85.600,0,0,00h04m11.12s,-47d21m38.3s,1.046351,-47.360626,356.02,,,12.383,5540.00,1.06,1.05,0,1285,,152.55000,,13.450,1.200,1.380000,0.1011000,0.7100,2014,3,356.02,G8,4.42,0.140,8.000,SuperWASP
Kepler-1563,b,Transit,1,3.43276598,,,,1,0,19h14m17.66s,+51d28m21.9s,288.573588,51.472755,547.00,13.583,Kepler-band,13.568,5765.00,1.00,0.99,0,,,,,0.750,0.067,,0.1731700,,2016,3,1697.74,,4.45,0.020,4.070,Kepler
Kepler-1564,b,Transit,1,18.05403810,,,,1,0,19h22m20.67s,+46d38m33.7s,290.586124,46.642689,872.00,15.004,Kepler-band,14.953,5528.00,0.93,0.90,0,,,,,1.470,0.131,,0.1837100,,2016,3,933.00,,4.50,0.030,4.570,Kepler
Kepler-1565,b,Transit,1,1.53818844,,,,1,0,19h51m48.71s,+40d48m24.5s,297.952967,40.806808,657.00,15.329,Kepler-band,15.432,4940.00,0.76,0.73,0,,,,,1.190,0.106,,0.0709250,,2016,3,641.29,,4.60,-0.160,5.620,Kepler
Kepler-1566,b,Transit,1,0.53991524,,,,1,0,18h54m21.03s,+40d34m29.7s,283.587614,40.574927,511.00,14.311,Kepler-band,14.312,5254.00,0.84,0.81,0,,,,,0.790,0.070,,0.0474600,,2016,3,472.94,,4.56,-0.070,5.010,Kepler
Kepler-1568,b,Transit,1,20.92539200,,,,1,0,19h16m43.84s,+47d52m24.2s,289.182664,47.873383,883.00,13.966,Kepler-band,13.945,5956.00,1.09,1.19,0,,,,,1.300,0.116,,0.2757100,,2016,3,941.12,,4.32,0.090,4.570,Kepler
Kepler-1569,b,Transit,1,5.79180156,,,,1,0,19h28m49.13s,+37d13m16.4s,292.204706,37.221220,1050.00,13.960,Kepler-band,13.932,6319.00,1.25,1.40,0,,,,,1.680,0.150,,0.1363700,,2016,3,971.70,,4.24,0.060,2.450,Kepler
